_ID_;_MODEL_;_STATUS_;_OPTIONS_
12303;"Corin Rosalie pink 12826 m sale";1;select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12305;"Kinga SV 274 Cannes semi-soft sale";1;select|Размер|85D|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12309;"Lupo 1344 m sale";1;select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12313;"Corin Rosalie pink 11826 m sale";1;"select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12314;"Kinga 326 Miracle soft sale";1;"select|Размер|80C|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75D|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12316;"Kris line Amanda soft sale";1;"select|Размер|95C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|90C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12317;"11747/747 бюст sale";1;"select|Размер|80F|1|1|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80D|1|1|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|1|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Белый|1|1|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12318;"11748 бюст sale";1;"image|Цвет|Белый|1|10|1|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80C|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12320;"Alles Calais p-up sale";1;select|Размер|70B|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12321;"Alles Carla p-up sale";1;select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12323;"Alles Garden push-up granat sale";1;select|Размер|75B|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12324;"Alles Infini p-up sale";1;select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12325;"Alles Isabella p-up sale";1;select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12326;"Alles Izis p-up sale";1;"select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12327;"Alles Latino p-up sale";1;"select|Размер|75C|1|2|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|2|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70A|1|2|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|2|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Белый|1|4|0|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12328;"Alles Monserat p-up sale";1;"image|Цвет|Светло-розовый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/light_pink.jpg
select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12329;"Alles Obsession p-up sale";0;select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12333;"Corin Bella 14860 black p-up sale";1;"select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12334;"Corin Jenny 14862 red p-up sale";1;"image|Цвет|Красный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/red.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12335;"Kinga 142 Corona p-up sale";1;"select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12336;"Kinga 2372 p-up sale";1;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|70A|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12340;"Kinga 2496 Palace p-up sale";1;select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12341;"Kinga 2500 End p-up sale";1;"select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12342;"Kinga 2524 Vivienne p-up sale";1;select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
