_ID_;_MODEL_;_STATUS_;_OPTIONS_
12362;"Alles Elena u black sale";1;"image|Цвет|Черный|1|0|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|75B|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12363;"Alles Garden full cup granat sale";1;select|Размер|75B|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12364;"Alles Isabella full cup sale";1;"select|Размер|75H|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12365;"Alles Izis full cup sale";1;select|Размер|90D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12367;"Latino black full cup sale";0;"select|Размер|70E|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12369;"Alles Mama Kelly u sale";0;"image|Цвет|Бежевый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/beige.jpg
select|Размер|75D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12370;"Alles Obsession u sale";1;select|Размер|80G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12371;"Alles Vienna u sale";1;select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12372;"Alles Vienna 01 u sale";1;"select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70F|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|9|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12374;"Alles Tony b black sale";1;"select|Размер|75F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12381;"Gelatto sale";1;"image|Цвет|Темно-синий 2|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/dark_blue1.jpg
select|Размер|L|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12382;"Savoyardi sale";1;"select|Размер|S|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12383;"Semifreddo sale";1;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|S|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12384;"AKRP 101204 sale";1;"image|Цвет|Коричневый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/korichnevyj.jpg
select|Размер|116-122|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12387;"Enigma sale";1;"select|Размер|S/M|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Темно-серый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/temnoseriy1.jpg"
