_ID_;_MODEL_;_OPTIONS_
12294;"Alles Mama Cubana soft sale";"select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12295;"Alles Mama Fruit m sale";select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12296;"11912 бюст м sale";"select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12298;"Alles Vienna 02 semi-soft sale";select|Размер|75F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12300;"Corin Florence skin 11827 m sale";select|Размер|90D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12301;"Corin Florence skin 12827 m sale";"select|Размер|90E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12302;"Corin Karen 12845 semi-soft sale";"select|Размер|85G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12303;"Corin Rosalie pink 12826 m sale";select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12304;"Gaia 218 Paris pink pu sale";select|Размер|95C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12305;"Kinga SV 274 Cannes semi-soft sale";select|Размер|85D|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12306;"Konrad Viki pu sale";select|Размер|80F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12307;"Kris Line Victoria semi-soft sale";select|Размер|85G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12308;"11746 бюст sale";"select|Размер|80D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12309;"Lupo 1344 m sale";"image|Цвет|Розовый 2|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/magenta.jpg
select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12310;"Alles Carla m sale";"select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12311;"Alles Dzerma m sale";"select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12312;"Alles Vienna 01 m sale";select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12313;"Corin Rosalie pink 11826 m sale";"select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12314;"Kinga 326 Miracle soft sale";"select|Размер|80C|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75D|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12316;"Kris line Amanda soft sale";"select|Размер|95C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|90C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
