_ID_;_NAME_;_STATUS_;_OPTIONS_
12314;"Бюстгальтер мягкий кружевной Kinga 326 Miracle";1;"select|Размер|80C|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75D|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12316;"Мягкий кружевной бюстгальтер кораллового цвета Kris line Amanda";1;"select|Размер|95C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|90C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12317;"Бюстгальтер мягкий с кружевом Milavitsa 11747/747";1;"image|Цвет|Черный|1|1|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Белый|1|1|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80F|1|1|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80D|1|1|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12318;"Бюстгальтер мягкий кружевной Milavitsa 11748";1;"select|Размер|80C|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|1|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12320;"Кружевной бюстгальтер пуш-ап Alles Calais";1;"image|Цвет|Шампанский|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/shampanskij.jpg
select|Размер|70C|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12321;"Бюстгальтер пуш-ап кружевной Alles Carla";1;select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12323;"Бюстгальтер пуш-ап с цветочным рисунком Alles Garden granat";1;select|Размер|75B|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12324;"Бюстгальтер пуш-ап Alles Infini";1;select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12325;"Бюстгальтер пуш-ап Alles Isabella";1;select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12326;"Бюстгальтер пуш-ап с сетчатым кружевом Alles Izis";1;"select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
