_ID_;_MODEL_;_STATUS_;_OPTIONS_
12350;"Kris line Diamond ekri push-up sale";1;"image|Цвет|Экри|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/jekri.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12351;"Kris Line Shine push-up sale";1;"image|Цвет|Черный|1|25|0||0.0000||0||0.00000000|data/colors/black.jpg
image|Цвет|Жемчужный|1|45|0||0.0000||0||0.00000000|data/colors/jekri.jpg
select|Размер|85C|1|5|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85A|1|5|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80C|1|5|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80B|1|5|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80A|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75D|1|5|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75B|1|5|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75A|1|5|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|5|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12352;"Gatta koszulka sport top sale";1;"image|Цвет|Черный|1|10|1|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12353;"Alles Padme 02 p-up sale";1;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12354;"Kinga 2384 Lila p-up sale";0;"image|Цвет|Экри|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/jekri.jpg
select|Размер|75A|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12355;"Ava 1156 Cambrai p-up sale";1;"select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12357;"Alles Candy Party full cup sale";1;"select|Размер|70F|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70E|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12360;"Alles Dubai  p-up sale";1;"select|Размер|80D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|9|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12362;"Alles Elena u black sale";1;"image|Цвет|Черный|1|0|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|75B|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12363;"Alles Garden full cup granat sale";1;select|Размер|75B|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12364;"Alles Isabella full cup sale";1;"select|Размер|75H|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12365;"Alles Izis full cup sale";1;select|Размер|90D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12367;"Latino black full cup sale";0;"select|Размер|70E|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12369;"Alles Mama Kelly u sale";0;"image|Цвет|Бежевый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/beige.jpg
select|Размер|75D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12370;"Alles Obsession u sale";1;select|Размер|80G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12371;"Alles Vienna u sale";1;select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12372;"Alles Vienna 01 u sale";1;"select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70F|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|9|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12374;"Alles Tony b black sale";1;"select|Размер|75F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12376;"Lupo 1392 u sale";1;"select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12381;"Gelatto sale";1;"image|Цвет|Темно-синий 2|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/dark_blue1.jpg
select|Размер|L|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12382;"Savoyardi sale";1;"select|Размер|S|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12383;"Semifreddo sale";1;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|S|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12384;"AKRP 101204 sale";1;"image|Цвет|Коричневый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/korichnevyj.jpg
select|Размер|116-122|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12387;"Enigma sale";1;"select|Размер|S/M|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Темно-серый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/temnoseriy1.jpg"
12390;"Gatta Capri 40 sale";0;"select|Размер|3|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|2|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12391;"Gatta Riyo 60 sale";1;select|Размер|3|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12392;"Kinga 2500 End f sale";1;select|Размер|M(38)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12393;"Charmante Daevis 20 sale";1;"image|Цвет|Grigio|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/grigio_2.jpg
select|Размер|S/M|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L/XL|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12394;"Garigliano 20 sale";1;"image|Цвет|Черный|1|0|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|1/2|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12395;"Ivy 20 sale";1;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|3|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
